deviceinfo_deviceid,max,count,sum
3.58E+14,27,27738,28173765
3.55E+14,39,32749,28162815
3.56E+14,25,14220,27972136
3.55E+14,42,29250,27970114
3.58E+14,29,13914,27888897
3.58E+14,40,20480,27856726
9.90E+14,36,39433,27791837
3.58E+14,22,14909,27765661
3.58E+14,28,14464,27712579
9.90E+14,47,39083,27652687
3.58E+14,29,18591,27530491
3.58E+14,27,19027,27383994
3.58E+14,26,26782,27371200
3.58E+14,29,15718,27354263
3.58E+14,28,26103,27290309
3.58E+14,29,16985,27225644
3.58E+14,41,26231,27168130
3.58E+14,49,65701,27079634
3.58E+14,23,21995,27044189
3.57E+14,39,20194,27015088
3.53E+14,41,16244,27006400
3.56E+14,41,33189,26904926
3.58E+14,39,22841,26884269
3.56E+14,28,16526,26803734
3.58E+14,26,18975,26776631
3.56E+14,26,13850,26664178
3.58E+14,24,15587,26584494
9.90E+14,45,21955,26553231
3.58E+14,26,16239,26538157
3.56E+14,25,13075,26396109
9.90E+14,49,24531,26270364
3.55E+14,36,30107,26172293
9.90E+14,51,12815,26134618
3.58E+14,42,25723,26102452
3.58E+14,26,26515,25917994
3.56E+14,27,12708,25899950
3.58E+14,26,15363,25868329
3.56E+14,24,14819,25862495
3.58E+14,27,13849,25840840
3.58E+14,28,10534,25831560
3.56E+14,41,21033,25780281
9.90E+14,44,19234,25695942
3.58E+14,27,16851,25694628
3.58E+14,23,13662,25644184
3.58E+14,28,17376,25593762
3.58E+14,27,16627,25570632
3.55E+14,34,20422,25514150
3.57E+14,39,21257,25510330
9.90E+14,49,36755,25417184
3.58E+14,26,13978,25400261
3.58E+14,28,12655,25321468
3.58E+14,26,14458,25256965
3.56E+14,40,20727,25190392
3.58E+14,26,13613,25178806
3.57E+14,51,17085,25130551
3.58E+14,24,15248,25119861
3.57E+14,46,18105,25105057
3.58E+14,26,13956,25032735
3.58E+14,26,11247,24933982
3.58E+14,25,12508,24888956
3.56E+14,23,13149,24828785
3.58E+14,28,15503,24737035
3.56E+14,41,20145,24722122
3.56E+14,28,15701,24624229
3.58E+14,27,22681,24614721
3.53E+14,26,48490,24609404
3.58E+14,31,12916,24593236
3.56E+14,28,14212,24582483
9.90E+14,48,28705,24573059
3.58E+14,24,8197,24528464
9.90E+14,42,43782,24436822
3.58E+14,29,12295,24371561
3.56E+14,29,13111,24355344
3.56E+14,23,14265,24296218
9.90E+14,51,34567,24210119
3.58E+14,25,12450,24127869
9.90E+14,46,16089,24094630
3.54E+14,51,35605,24090798
3.58E+14,30,14169,24081296
3.56E+14,44,15903,24063059
3.56E+14,41,18037,24025514
3.58E+14,26,22051,23980217
9.90E+14,50,33042,23963451
3.56E+14,26,11519,23845421
3.58E+14,24,18064,23736019
3.58E+14,32,10853,23701015
3.58E+14,42,21159,23656259
9.90E+14,48,19278,23610651
3.56E+14,26,12169,23608230
3.58E+14,23,12701,23596071
3.58E+14,35,22030,23557626
3.55E+14,36,34860,23452118
3.57E+14,47,30512,23433032
3.58E+14,26,21784,23392954
3.58E+14,22,4135,23367784
3.58E+14,24,12546,23367618
3.58E+14,24,15433,23223228
3.56E+14,39,19163,23220385
3.58E+14,21,10661,23212401
3.58E+14,23,14412,23204777
9.90E+14,44,11160,23188682
3.58E+14,27,28537,23171535
3.56E+14,20,12535,23109848
3.56E+14,27,9979,22870396
3.55E+14,40,42424,22866302
3.54E+14,41,44356,22812897
3.58E+14,28,11398,22736866
3.58E+14,24,9385,22648725
3.58E+14,48,29436,22620904
3.58E+14,47,22503,22592208
3.56E+14,26,14332,22478359
3.58E+14,27,11144,22459069
9.90E+14,44,18797,22370004
3.58E+14,29,12571,22365741
3.58E+14,26,13076,22363906
3.54E+14,55,25070,22348874
3.55E+14,39,31941,22307259
3.58E+14,24,14207,22209693
3.58E+14,28,11879,22085565
3.58E+14,45,26681,22077937
3.58E+14,24,17016,22057565
3.56E+14,24,9893,21995836
3.58E+14,26,13944,21889478
3.58E+14,24,12875,21877916
3.56E+14,41,20403,21849273
3.56E+14,30,10515,21782214
3.58E+14,27,12859,21713822
3.58E+14,25,10312,21702377
3.56E+14,26,12297,21674643
3.58E+14,26,18964,21661951
3.58E+14,31,15051,21655376
3.58E+14,48,19804,21629690
3.56E+14,25,17667,21562007
3.56E+14,27,12952,21524211
3.56E+14,24,10392,21521555
3.58E+14,30,8964,21487937
3.54E+14,39,27182,21449532
3.56E+14,24,12015,21288989
3.57E+14,47,22378,21257107
3.58E+14,27,15100,21252466
3.58E+14,25,22586,21205223
3.56E+14,40,18557,21189582
3.58E+14,25,14650,21165092
3.58E+14,30,16335,21060812
3.56E+14,28,12637,20948066
3.58E+14,26,11654,20893729
3.54E+14,55,39693,20891658
3.58E+14,23,5777,20864094
3.56E+14,40,9170,20809807
9.90E+14,48,22026,20737708
3.55E+14,41,24868,20650226
3.58E+14,22,11971,20592348
3.55E+14,37,67803,20555542
3.58E+14,25,12745,20547710
3.58E+14,23,11139,20413420
3.58E+14,26,7256,20401233
3.56E+14,26,6854,20379605
3.58E+14,23,15359,20378572
3.58E+14,25,11861,20361254
3.58E+14,25,12426,20347573
3.55E+14,38,17662,20334816
3.58E+14,25,12371,20289649
3.56E+14,24,13611,20186266
3.58E+14,21,11363,20151178
3.55E+14,34,23376,20148721
3.56E+14,28,12739,20125195
3.58E+14,28,25856,20073448
3.58E+14,26,14424,20025228
3.58E+14,26,13837,20001672
3.58E+14,27,11466,19965014
